Input	Output
turn opposite right after turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around left and uajp around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP
izcb opposite right twice and turn around left twice	I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
ufnu around right and turn around right	I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
yjft twice after abiu opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_TURN_RIGHT I_ABIU I_YJFT I_YJFT
dpnk right twice after dpnk around right twice	I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK
asmf left thrice and turn around right twice	I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
reqk around right and turn right	I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT
ciwt around right after ciwt opposite right	I_TURN_RIGHT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT
hfro around right thrice and turn left twice	I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_HFRO I_TURN_LEFT I_TURN_LEFT
wpkt twice and turn right thrice	I_WPKT I_WPKT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
lwmo left twice and turn around right twice	I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
xlie right twice after xlie around right	I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE
jcda right and turn opposite left twice	I_TURN_RIGHT I_JCDA I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn left twice after jduf opposite left	I_TURN_LEFT I_TURN_LEFT I_JDUF I_TURN_LEFT I_TURN_LEFT
turn opposite left and vlbo opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_VLBO
turn opposite left thrice after rksp opposite left twice	I_TURN_LEFT I_TURN_LEFT I_RKSP I_TURN_LEFT I_TURN_LEFT I_RKSP I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
mgai around right twice and turn right thrice	I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
walk opposite right twice after walk left	I_TURN_LEFT I_WALK I_TURN_RIGHT I_TURN_RIGHT I_WALK I_TURN_RIGHT I_TURN_RIGHT I_WALK
macp around right and fkes opposite right	I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_TURN_RIGHT I_FKES
idej around right twice and idej thrice	I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_IDEJ I_IDEJ I_IDEJ
nvnj opposite right thrice after vgha left twice	I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_TURN_RIGHT I_NVNJ
iugo opposite right and turn right	I_TURN_RIGHT I_TURN_RIGHT I_IUGO I_TURN_RIGHT
turn around right thrice after ohlm around left thrice	I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
tece left thrice after tece	I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE
turn around left and eegp around right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP
abiu around left twice after asap around left twice	I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU
vosv opposite right thrice after qnsr twice	I_QNSR I_QNSR I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_VOSV
jmbc around left twice after jmbc opposite right	I_TURN_RIGHT I_TURN_RIGHT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC
dpjs opposite left thrice after turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_DPJS I_TURN_LEFT I_TURN_LEFT I_DPJS I_TURN_LEFT I_TURN_LEFT I_DPJS
dpjs right twice after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_DPJS I_TURN_RIGHT I_DPJS
coaf around left and coaf left	I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF
turn opposite right twice and qnsr opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_TURN_RIGHT I_QNSR
turn around right twice and jmbc around left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC I_TURN_LEFT I_JMBC
reqk left thrice and turn opposite left	I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_TURN_LEFT
aowu opposite left thrice and rqli around left twice	I_TURN_LEFT I_TURN_LEFT I_AOWU I_TURN_LEFT I_TURN_LEFT I_AOWU I_TURN_LEFT I_TURN_LEFT I_AOWU I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI
iugo opposite left after nvnj opposite right	I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_LEFT I_TURN_LEFT I_IUGO
wdqg opposite right and qnsr around left twice	I_TURN_RIGHT I_TURN_RIGHT I_WDQG I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR
vbcx left twice after vbcx around right	I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX
dpnk right after yqvi right thrice	I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_DPNK
turn around right and yvbl opposite left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_YVBL
turn around right thrice after vgha around left thrice	I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_LEFT I_VGHA I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
oymp around right twice and asmf around left thrice	I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF
vosv twice and turn opposite right thrice	I_VOSV I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
vbcx around right thrice and vbcx around right thrice	I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX
eegp right and eegp left twice	I_TURN_RIGHT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP
kvur around right and turn left twice	I_TURN_RIGHT I_KVUR I_TURN_RIGHT I_KVUR I_TURN_RIGHT I_KVUR I_TURN_RIGHT I_KVUR I_TURN_LEFT I_TURN_LEFT
turn opposite left and fkes around right	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES
turn around right after pvrq opposite left	I_TURN_LEFT I_TURN_LEFT I_PVRQ I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
zsvr around right thrice after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR
turn opposite right and dpnk left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK
jcda around left thrice and turn opposite left twice	I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_JCDA I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
gmha around left twice after turn left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA
tpdt left thrice and turn right twice	I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT I_TURN_RIGHT I_TURN_RIGHT
gyjs right after gyjs around left twice	I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_RIGHT I_GYJS
turn opposite left twice and asap opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_ASAP
turn opposite right twice after xlgm right	I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around left thrice and wdqg right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_WDQG
reqk after reqk right	I_TURN_RIGHT I_REQK I_REQK
walk twice and walk left	I_WALK I_WALK I_TURN_LEFT I_WALK
vbcx around left twice after oymp left twice	I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX
eegp thrice and iugo around right twice	I_EEGP I_EEGP I_EEGP I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO
zwjm after pvrq right thrice	I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_ZWJM
idej right and mxay around left	I_TURN_RIGHT I_IDEJ I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY
tece right thrice after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE
yqvi opposite left thrice and turn around right	I_TURN_LEFT I_TURN_LEFT I_YQVI I_TURN_LEFT I_TURN_LEFT I_YQVI I_TURN_LEFT I_TURN_LEFT I_YQVI I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
look around right after turn left	I_TURN_LEFT I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK
coaf left thrice after gmha opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF
turn left and ufnu around left twice	I_TURN_LEFT I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU
ulus thrice and vzoe right	I_ULUS I_ULUS I_ULUS I_TURN_RIGHT I_VZOE
kbcp left thrice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_KBCP I_TURN_LEFT I_KBCP I_TURN_LEFT I_KBCP
turn left and wjdv around left thrice	I_TURN_LEFT I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV
turn opposite left and dpan right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN
zhkg around right twice after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG
izcb opposite left after yqvi around left twice	I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_TURN_LEFT I_IZCB
vgha	I_VGHA
qnsr around right twice after zhkg twice	I_ZHKG I_ZHKG I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR
yvbl right thrice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL
dpan thrice and dpan left thrice	I_DPAN I_DPAN I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN
jmbc around right and turn opposite left thrice	I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn around left thrice after zbxv thrice	I_ZBXV I_ZBXV I_ZBXV I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
izcb opposite left after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_IZCB
mgai right twice and mgai opposite left twice	I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_LEFT I_TURN_LEFT I_MGAI I_TURN_LEFT I_TURN_LEFT I_MGAI
mlle opposite left and mlle around right	I_TURN_LEFT I_TURN_LEFT I_MLLE I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE
boch around left after turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH
nrob around left thrice after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB
turn left after idej around right twice	I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_LEFT
zsvr left after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ZSVR
wjdv twice and wjdv opposite left	I_WJDV I_WJDV I_TURN_LEFT I_TURN_LEFT I_WJDV
kbcp thrice after kbcp around right	I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_KBCP I_KBCP I_KBCP
jjep and jjep left	I_JJEP I_TURN_LEFT I_JJEP
turn around left twice and tftq opposite right twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TFTQ I_TURN_RIGHT I_TURN_RIGHT I_TFTQ
hklu opposite left twice and turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_HKLU I_TURN_LEFT I_TURN_LEFT I_HKLU I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn around right thrice after pzur opposite left	I_TURN_LEFT I_TURN_LEFT I_PZUR I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite right after qnsr around right thrice	I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_TURN_RIGHT
dpjs opposite right twice after dpjs left twice	I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_RIGHT I_TURN_RIGHT I_DPJS I_TURN_RIGHT I_TURN_RIGHT I_DPJS
izcb thrice after izcb twice	I_IZCB I_IZCB I_IZCB I_IZCB I_IZCB
vlbo left twice after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO
turn right thrice and icho right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO
icho around right after turn right	I_TURN_RIGHT I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO
rjxc opposite left after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_RJXC
turn around left and turn left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
dpan thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_DPAN I_DPAN I_DPAN
